用户id,注册时间,性别,年龄,学历,所属省份,所属地市,下载渠道,游戏职业,游戏等级,最近一次登录时间
D45280,2018/4/28,男,14,初中及以下,北京市,北京市,vivo应用商店,法师,青铜,2018/12/23
D27004,2018/6/10,男,24,本科,福建省,泉州市,小米应用商店,剑士,青铜,2019/1/1
D27235,2017#9#30,男,28,本科,安徽省,滁州市,应用宝,剑士,青铜,2018/9/27
D42012,2018/10/24,男,26,高中/中专,湖北省,孝感市,oppo应用商店,法师,白银,2019/10/22
D43566,2017#8#11,男,14,初中及以下,辽宁省,本溪市,APP Store,法师,青铜,2018/1/3
D31571,2019/2/9,男,18,高中/中专,河北省,沧州市,APP Store,法师,青铜,2019/3/23
D22737,2018/10/10,女,29,高中/中专,江苏省,南京市,应用宝,剑士,黄金,2019/4/18
D41892,2017#10#22,男,28,本科,江西省,赣州市,华为应用商店,刺客,青铜,2019/2/9
D29647,2018/2/28,女,35,本科,重庆市,重庆市,APP Store,刺客,青铜,2018/12/2
D50891,2018/10/10,男,32,高中/中专,辽宁省,大连市,华为应用商店,刺客,青铜,2019/5/13
D40608,2017#10#15,男,28,大专,湖南省,益阳市,oppo应用商店,法师,星耀,2018/12/11
D31644,2017#10#31,男,26,大专,河北省,邢台市,华为应用商店,法师,青铜,2019/4/24
D21170,2018/11/28,男,17,大专,河南省,驻马店市,APP Store,法师,黄金,2019/3/7
D28676,2018/11/1,男,34,高中/中专,河北省,邯郸市,APP Store,法师,青铜,2019/4/29
D33948,2017#8#4,女,27,大专,重庆市,重庆市,华为应用商店,刺客,黄金,2018/1/31
D48964,2018/9/28,男,25,本科,江西省,抚州市,华为应用商店,刺客,青铜,2018/10/6
D22697,2019/6/6,男,19,大专,广东省,佛山市,华为应用商店,法师,黄金,2019/8/10
D47153,2018/7/17,男,23,硕士,江苏省,苏州市,小米应用商店,法师,青铜,2019/5/20
D40987,2018/6/7,男,21,初中及以下,浙江省,湖州市,应用宝,法师,青铜,2019/2/10
D40259,2017#10#31,女,13,初中及以下,江苏省,泰州市,华为应用商店,刺客,青铜,2019/5/23
D35942,2018/12/24,女,20,高中/中专,江苏省,镇江市,oppo应用商店,法师,白银,2019/6/18
D45659,2018/5/23,男,29,本科,江西省,九江市,APP Store,刺客,青铜,2019/7/25
D26129,2017#11#30,男,26,本科,广西壮族自治区,南宁市,vivo应用商店,法师,黄金,2018/2/15
D24993,2017#11#24,女,23,本科,广东省,深圳市,oppo应用商店,法师,青铜,2018/11/29
D40102,2018/10/10,男,37,大专,江西省,宜春市,小米应用商店,刺客,黄金,2019/1/19
D44999,2018/9/27,女,27,大专,河北省,唐山市,华为应用商店,法师,青铜,2019/8/5
D26054,2018/3/14,男,17,高中/中专,浙江省,台州市,小米应用商店,法师,黄金,2019/2/27
D27337,2018/12/8,男,31,硕士,江苏省,镇江市,其他,法师,青铜,2019/11/15
D41589,2018/10/29,男,31,大专,山东省,德州市,小米应用商店,法师,青铜,2019/9/9
D29446,2018/8/26,女,25,初中及以下,江西省,宜春市,华为应用商店,法师,青铜,2019/8/16
D33497,2018/7/1,男,34,初中及以下,广东省,江门市,vivo应用商店,法师,青铜,2018/7/31
D38909,2019/1/10,女,17,高中/中专,浙江省,丽水市,oppo应用商店,刺客,青铜,2019/4/16
D27918,2018/9/19,女,16,大专,广东省,东莞市,oppo应用商店,法师,青铜,2019/2/17
D21228,2019/6/12,男,23,初中及以下,黑龙江省,大庆市,APP Store,剑士,青铜,2019/7/22
D24196,2018/9/24,男,36,大专,北京市,北京市,华为应用商店,刺客,青铜,2018/12/3
D33450,2017#8#15,男,25,本科,陕西省,西安市,华为应用商店,法师,青铜,2018/10/25
D48216,2017#9#27,男,31,初中及以下,江苏省,淮安市,oppo应用商店,法师,白银,2018/2/15
D35856,2017#12#18,男,19,硕士,宁夏回族自治区,吴忠市,APP Store,法师,白银,2018/7/10
D35349,2018/1/17,男,15,初中及以下,山西省,临汾市,华为应用商店,法师,青铜,2018/11/27
D28356,2017#12#28,女,28,大专,浙江省,宁波市,应用宝,刺客,青铜,2018/5/19
D49434,2018/10/29,女,36,高中/中专,贵州省,黔南州,应用宝,法师,青铜,2019/7/11
D27936,2017#7#13,女,35,硕士,湖南省,长沙市,oppo应用商店,法师,白银,2019/3/5
D37257,2017#11#30,男,28,本科,海南省,海南省直辖,APP Store,刺客,白银,2019/10/24
D44693,2017#9#27,女,27,硕士,山东省,烟台市,应用宝,法师,青铜,2018/2/16
D31789,2019/2/11,男,18,高中/中专,江苏省,南京市,oppo应用商店,剑士,青铜,2019/3/13
D52648,2019/3/26,男,13,初中及以下,四川省,绵阳市,oppo应用商店,法师,青铜,2019/5/12
D41932,2019/5/16,男,21,本科,广东省,深圳市,应用宝,剑士,青铜,2019/7/10
D36625,2018/1/1,男,31,大专,广东省,湛江市,APP Store,剑士,青铜,2018/8/16
D37764,2019/2/10,女,28,高中/中专,云南省,普洱市,vivo应用商店,法师,青铜,2019/4/8
D34329,2018/4/30,女,30,大专,山东省,烟台市,oppo应用商店,法师,青铜,2018/8/14
D27980,2018/3/31,女,15,初中及以下,甘肃省,天水市,华为应用商店,剑士,青铜,2019/1/1
D48361,2017#11#15,男,33,大专,江苏省,常州市,应用宝,剑士,青铜,2019/2/11
D49233,2017#10#26,男,22,博士及以上,广东省,中山市,华为应用商店,法师,青铜,2017/12/7
D21529,2018/7/2,女,23,初中及以下,广西壮族自治区,百色市,oppo应用商店,刺客,白银,2018/12/13
D34536,2018/10/15,男,16,初中及以下,安徽省,淮南市,vivo应用商店,法师,青铜,2019/1/29
D38170,2017#10#2,男,23,大专,安徽省,六安市,oppo应用商店,刺客,青铜,2019/2/23
D27487,2019/6/15,男,20,高中/中专,广东省,广州市,华为应用商店,法师,黄金,2019/10/1
D32936,2018/5/12,男,22,大专,江苏省,徐州市,华为应用商店,法师,青铜,2018/12/9
D36745,2018/8/19,男,14,初中及以下,广西壮族自治区,北海市,小米应用商店,法师,青铜,2019/2/1
D44587,2017#8#4,女,21,大专,四川省,成都市,小米应用商店,法师,青铜,2019/5/1
D25904,2017#11#8,男,15,初中及以下,广东省,惠州市,小米应用商店,剑士,青铜,2018/4/15
D21914,2017#10#12,女,26,硕士,北京市,北京市,华为应用商店,法师,青铜,2018/1/14
D52167,2017#7#16,男,42,本科,江西省,南昌市,华为应用商店,剑士,青铜,2019/3/8
D26191,2017#11#25,男,19,大专,北京市,北京市,华为应用商店,刺客,青铜,2018/12/24
D48044,2018/1/10,男,34,大专,浙江省,台州市,应用宝,法师,青铜,2018/9/28
D26359,2017#11#22,男,21,大专,广东省,深圳市,应用宝,法师,青铜,2019/2/24
D40910,2018/8/14,男,33,初中及以下,江苏省,苏州市,小米应用商店,刺客,青铜,2018/12/28
D25786,2018/6/2,女,14,初中及以下,重庆市,重庆市,华为应用商店,刺客,青铜,2019/4/16
D33390,2018/11/12,男,18,大专,广东省,广州市,oppo应用商店,刺客,青铜,2019/6/22
D28740,2018/6/27,男,25,高中/中专,宁夏回族自治区,银川市,APP Store,剑士,青铜,2019/1/2
D36995,2017#7#29,男,16,大专,甘肃省,天水市,oppo应用商店,法师,青铜,2019/2/25
D27331,2018/3/3,女,39,大专,江苏省,苏州市,华为应用商店,法师,青铜,2018/7/20
D28466,2019/3/7,男,13,初中及以下,浙江省,温州市,oppo应用商店,法师,青铜,2019/6/1
D21469,2018/7/17,男,17,高中/中专,广东省,江门市,应用宝,刺客,青铜,2018/11/12
D44507,2018/6/10,男,19,初中及以下,云南省,普洱市,APP Store,法师,青铜,2019/10/20
D39225,2017#10#13,男,15,初中及以下,四川省,资阳市,oppo应用商店,法师,青铜,2018/12/21
D32967,2019/4/12,男,18,高中/中专,广西壮族自治区,梧州市,应用宝,法师,白银,2019/6/19
D34727,2017#8#4,男,16,高中/中专,山西省,忻州市,APP Store,法师,青铜,2018/6/9
D26542,2019/6/27,男,26,本科,重庆市,重庆市,vivo应用商店,剑士,白银,2019/6/13
D23964,2018/7/17,男,15,初中及以下,黑龙江省,大兴安岭地区,APP Store,刺客,青铜,2019/10/17
D52794,2018/9/27,男,34,大专,广东省,广州市,oppo应用商店,法师,青铜,2019/9/19
D25153,2018/5/10,女,24,大专,黑龙江省,绥化市,应用宝,法师,青铜,2018/6/20
D35117,2017#11#1,男,21,大专,江苏省,盐城市,小米应用商店,法师,青铜,2019/8/19
D49785,2018/8/14,女,40,大专,浙江省,湖州市,应用宝,法师,黄金,2018/9/10
D42119,2017#12#18,男,17,高中/中专,浙江省,宁波市,小米应用商店,法师,青铜,2018/12/3
D51553,2018/6/19,女,27,硕士,山西省,大同市,vivo应用商店,法师,青铜,2018/8/29
D47855,2018/1/16,男,28,高中/中专,上海市,上海市,vivo应用商店,刺客,青铜,2018/10/25
D44541,2017#8#17,女,24,硕士,浙江省,金华市,华为应用商店,剑士,青铜,2019/4/28
D33442,2019/3/3,男,20,大专,山西省,大同市,oppo应用商店,法师,青铜,2019/3/13
D38325,2017#12#16,男,13,初中及以下,甘肃省,定西市,华为应用商店,法师,青铜,2018/10/17
D23740,2017#10#15,男,13,初中及以下,黑龙江省,牡丹江市,APP Store,刺客,青铜,2018/2/2
D49120,2018/11/5,男,16,高中/中专,广东省,深圳市,华为应用商店,法师,白银,2019/7/7
D35851,2018/4/17,女,22,大专,广西壮族自治区,南宁市,应用宝,法师,青铜,2018/6/23
D38767,2018/9/2,男,24,大专,江苏省,南通市,oppo应用商店,法师,青铜,2019/5/24
D34539,2019/5/7,女,18,大专,贵州省,黔南州,APP Store,刺客,青铜,2019/5/29
D51261,2017#8#11,女,14,初中及以下,安徽省,六安市,APP Store,法师,白银,2019/11/26
D28306,2018/6/20,女,41,本科,陕西省,西安市,其他,法师,青铜,2018/8/10
D49167,2018/9/5,女,13,初中及以下,江苏省,南京市,华为应用商店,法师,青铜,2019/11/25
D33454,2019/4/19,男,25,大专,重庆市,重庆市,应用宝,剑士,青铜,2019/7/22
D28030,2019/3/16,男,23,大专,陕西省,西安市,oppo应用商店,刺客,白银,2019/5/24
D23545,2018/7/15,男,27,大专,浙江省,宁波市,APP Store,法师,白银,2019/8/13
D33944,2019/1/16,男,20,高中/中专,湖南省,永州市,应用宝,法师,青铜,2019/2/11
D36927,2018/1/14,男,19,大专,广东省,东莞市,oppo应用商店,刺客,青铜,2018/10/11
D35846,2017#8#14,男,17,初中及以下,福建省,泉州市,小米应用商店,剑士,青铜,2018/7/4
D23753,2019/3/1,男,16,高中/中专,四川省,成都市,oppo应用商店,剑士,青铜,2019/4/9
D32129,2018/5/17,女,18,大专,上海市,上海市,华为应用商店,刺客,青铜,2019/6/6
D48822,2017#9#23,女,14,初中及以下,安徽省,阜阳市,APP Store,法师,黄金,2019/4/5
D36771,2018/6/24,男,16,初中及以下,内蒙古自治区,包头市,oppo应用商店,法师,青铜,2019/5/27
D46615,2018/5/4,女,32,硕士,福建省,泉州市,APP Store,法师,青铜,2018/10/5
D50513,2018/1/10,女,19,大专,江苏省,无锡市,vivo应用商店,剑士,青铜,2019/2/11
D37147,2018/3/29,男,23,硕士,河北省,唐山市,华为应用商店,剑士,青铜,2019/4/15
D35390,2017#11#29,男,19,大专,湖南省,株洲市,华为应用商店,法师,星耀,2018/4/29
D36178,2018/8/26,女,23,本科,江苏省,苏州市,oppo应用商店,刺客,青铜,2019/7/18
D51403,2017#11#1,男,26,本科,江苏省,常州市,APP Store,法师,青铜,2019/1/12
D43621,2017#8#24,男,14,初中及以下,江苏省,扬州市,华为应用商店,剑士,白银,2019/1/14
D27477,2018/5/15,女,18,大专,重庆市,重庆市,APP Store,剑士,青铜,2019/4/9
D39270,2017#10#27,女,22,本科,福建省,漳州市,华为应用商店,剑士,青铜,2019/5/23
D26824,2017#11#5,男,20,大专,四川省,自贡市,应用宝,刺客,青铜,2018/10/25
D32192,2018/5/9,女,29,初中及以下,湖南省,郴州市,华为应用商店,法师,青铜,2018/11/3
D22136,2017#7#12,男,24,大专,湖南省,长沙市,oppo应用商店,法师,青铜,2019/4/4
D48009,2018/10/15,男,34,高中/中专,广东省,中山市,oppo应用商店,刺客,青铜,2018/12/3
D46928,2017#9#21,男,14,初中及以下,江苏省,泰州市,应用宝,法师,青铜,2018/5/3
D41146,2017#11#30,女,27,大专,云南省,楚雄彝族自治州,华为应用商店,剑士,青铜,2018/10/26
D45899,2018/12/9,男,19,大专,重庆市,重庆市,小米应用商店,剑士,青铜,2019/9/30
D43329,2017#10#27,男,33,本科,重庆市,重庆市,APP Store,剑士,青铜,2018/4/3
D26958,2018/9/11,女,27,大专,陕西省,西安市,vivo应用商店,剑士,青铜,2019/10/2
D38109,2018/4/20,女,27,大专,北京市,北京市,APP Store,法师,青铜,2018/10/29
D37614,2017#11#29,男,22,本科,浙江省,舟山市,小米应用商店,刺客,白银,2018/9/1
D30398,2018/1/1,男,20,大专,海南省,海南省直辖,APP Store,剑士,青铜,2018/3/30
D45702,2017#12#22,女,20,大专,江苏省,南通市,应用宝,剑士,青铜,2018/3/9
D27652,2019/4/10,女,23,大专,安徽省,淮南市,华为应用商店,刺客,青铜,2019/6/21
D51458,2017#11#10,男,31,硕士,江西省,南昌市,小米应用商店,刺客,黄金,2019/9/7
D43189,2019/2/3,男,35,大专,重庆市,重庆市,应用宝,剑士,青铜,2019/5/12
D23577,2018/9/15,男,20,大专,上海市,上海市,其他,法师,青铜,2019/3/27
D42897,2017#10#1,女,24,大专,黑龙江省,绥化市,APP Store,刺客,星耀,2019/1/15
D36351,2017#9#21,女,19,大专,甘肃省,兰州市,vivo应用商店,法师,青铜,2017/9/24
D21617,2017#11#15,男,41,高中/中专,安徽省,池州市,vivo应用商店,法师,青铜,2019/7/17
D21150,2018/9/15,男,24,大专,浙江省,嘉兴市,华为应用商店,刺客,青铜,2019/2/1
D43806,2018/10/29,男,25,高中/中专,陕西省,汉中市,应用宝,剑士,白银,2019/4/13
D22178,2017#9#23,女,22,本科,浙江省,温州市,APP Store,法师,青铜,2018/12/5
D42640,2018/1/17,女,16,高中/中专,吉林省,吉林市,华为应用商店,法师,青铜,2018/11/1
D36378,2017#10#14,男,33,大专,江苏省,镇江市,应用宝,法师,青铜,2019/6/12
D40622,2019/5/6,男,27,大专,湖南省,湘潭市,华为应用商店,法师,青铜,2019/7/1
D43078,2017#11#15,男,18,初中及以下,河南省,郑州市,华为应用商店,刺客,青铜,2019/5/31
D30596,2017#9#23,男,28,高中/中专,湖北省,武汉市,oppo应用商店,刺客,白银,2019/10/23
D22083,2017#10#21,男,16,高中/中专,山东省,威海市,应用宝,法师,青铜,2019/7/20
D21789,2019/2/5,男,30,本科,广东省,云浮市,小米应用商店,刺客,青铜,2019/5/15
D52526,2017#11#7,男,19,初中及以下,广东省,广州市,应用宝,剑士,青铜,2018/10/25
D29562,2017#12#24,男,22,大专,河北省,邯郸市,其他,剑士,青铜,2019/1/16
D48968,2018/8/14,男,35,高中/中专,云南省,楚雄彝族自治州,应用宝,法师,青铜,2018/10/2
D31162,2018/8/23,男,33,大专,北京市,北京市,vivo应用商店,法师,青铜,2018/12/26
D35236,2017#9#30,男,24,本科,广西壮族自治区,柳州市,APP Store,法师,青铜,2017/12/21
D51603,2017#7#13,男,20,本科,浙江省,绍兴市,华为应用商店,刺客,青铜,2017/8/4
D49011,2017#8#4,男,18,初中及以下,广东省,江门市,华为应用商店,法师,青铜,2018/9/14
D44697,2018/1/14,男,28,本科,辽宁省,沈阳市,vivo应用商店,法师,青铜,2019/11/7
D29232,2017#11#1,男,22,高中/中专,山东省,济南市,应用宝,剑士,青铜,2018/10/28
D45695,2019/5/17,男,24,硕士,上海市,上海市,APP Store,法师,青铜,2019/8/15
D36675,2017#8#17,男,26,大专,四川省,乐山市,vivo应用商店,法师,白银,2018/5/4
D51230,2017#10#14,男,15,初中及以下,重庆市,重庆市,华为应用商店,刺客,青铜,2019/7/26
D29895,2018/7/13,男,33,本科,陕西省,渭南市,华为应用商店,刺客,青铜,2018/9/3
D32594,2018/3/19,男,24,大专,广西壮族自治区,北海市,小米应用商店,剑士,青铜,2018/7/29
D49466,2019/1/16,男,24,硕士,北京市,北京市,华为应用商店,剑士,青铜,2019/3/10
D21271,2018/11/5,男,14,初中及以下,江苏省,南通市,vivo应用商店,刺客,青铜,2019/4/20
D47471,2017#8#19,男,22,大专,辽宁省,营口市,vivo应用商店,法师,青铜,2017/12/12
D30656,2018/7/17,男,29,大专,河北省,石家庄市,APP Store,法师,青铜,2018/10/1
D36908,2018/10/15,男,25,大专,安徽省,宿州市,APP Store,剑士,白银,2019/8/20
D25977,2018/9/12,女,15,初中及以下,广东省,茂名市,华为应用商店,刺客,青铜,2018/11/4
D38262,2018/9/6,男,20,大专,陕西省,西安市,APP Store,法师,白银,2019/1/30
D29337,2018/1/10,男,24,大专,广东省,东莞市,APP Store,刺客,青铜,2019/11/29
D23644,2018/1/14,女,22,硕士,江苏省,南京市,小米应用商店,法师,青铜,2019/2/7
D50586,2018/10/31,男,23,大专,重庆市,重庆市,华为应用商店,刺客,青铜,2019/7/4
D46520,2017#7#22,男,17,大专,四川省,内江市,vivo应用商店,剑士,青铜,2019/4/25
D47312,2017#7#13,女,25,本科,江苏省,南京市,其他,法师,青铜,2018/12/13
D23922,2019/3/1,男,27,高中/中专,河南省,郑州市,华为应用商店,剑士,青铜,2019/4/11
D24290,2017#12#22,男,25,高中/中专,安徽省,黄山市,APP Store,刺客,青铜,2018/4/13
D24859,2017#9#24,男,16,高中/中专,广东省,广州市,vivo应用商店,刺客,青铜,2018/3/30
D25092,2018/7/2,女,21,高中/中专,四川省,成都市,APP Store,法师,青铜,2018/10/29
D52618,2018/9/21,女,23,本科,重庆市,重庆市,华为应用商店,法师,青铜,2018/11/30
D45423,2018/10/15,女,19,硕士,山西省,长治市,APP Store,法师,青铜,2019/6/25
D35043,2017#10#22,女,16,大专,浙江省,宁波市,小米应用商店,刺客,青铜,2018/4/13
D30160,2018/6/27,男,28,大专,新疆维吾尔自治区,伊犁哈萨克自治州,应用宝,剑士,青铜,2019/5/31
D52263,2017#7#21,男,20,大专,广西壮族自治区,南宁市,应用宝,剑士,青铜,2018/3/7
D28710,2018/6/17,男,23,硕士,上海市,上海市,oppo应用商店,剑士,青铜,2018/10/30
D21286,2017#7#30,男,13,初中及以下,浙江省,杭州市,应用宝,法师,青铜,2017/11/29
D31697,2017#11#24,女,27,大专,江苏省,无锡市,华为应用商店,剑士,青铜,2018/3/12
D50063,2018/9/17,男,18,大专,云南省,昆明市,应用宝,法师,黄金,2019/1/6
D48053,2017#10#19,男,21,本科,河南省,焦作市,vivo应用商店,剑士,青铜,2019/1/27
D46808,2017#11#22,女,27,博士及以上,北京市,北京市,APP Store,刺客,青铜,2018/7/24
D34789,2019/6/22,男,27,高中/中专,安徽省,合肥市,华为应用商店,法师,青铜,2019/11/26
D21399,2017#7#19,男,21,大专,四川省,绵阳市,华为应用商店,刺客,青铜,2019/4/2
D49204,2017#12#28,男,25,大专,福建省,泉州市,华为应用商店,刺客,青铜,2019/3/16
D42556,2018/9/15,男,24,初中及以下,河南省,南阳市,小米应用商店,法师,青铜,2019/5/3
D24079,2017#8#26,男,43,高中/中专,江西省,南昌市,APP Store,刺客,青铜,2017/8/28
D28845,2017#12#25,男,24,大专,浙江省,金华市,APP Store,剑士,星耀,2019/10/20
D48047,2018/1/14,男,42,高中/中专,山东省,烟台市,应用宝,刺客,青铜,2018/7/15
D31253,2017#7#11,男,23,高中/中专,北京市,北京市,华为应用商店,剑士,王者,2019/4/25
D29296,2017#11#1,男,28,大专,江苏省,泰州市,应用宝,法师,青铜,2018/5/1
D46854,2018/7/15,男,19,大专,北京市,北京市,小米应用商店,刺客,青铜,2019/10/23
D23445,2017#11#30,男,21,本科,广东省,揭阳市,APP Store,法师,青铜,2019/4/21
D45581,2018/10/23,男,13,初中及以下,湖北省,武汉市,APP Store,法师,青铜,2019/4/27
D32214,2017#10#15,女,34,大专,福建省,龙岩市,华为应用商店,法师,青铜,2018/6/13
D24585,2018/9/17,男,17,大专,广东省,珠海市,vivo应用商店,法师,白银,2018/10/28
D37225,2017#10#6,男,15,初中及以下,福建省,宁德市,应用宝,法师,青铜,2018/9/25
D38368,2018/5/24,男,32,大专,浙江省,台州市,vivo应用商店,刺客,青铜,2019/2/7
D41730,2017#8#13,男,21,大专,浙江省,温州市,APP Store,刺客,青铜,2018/2/28
D45653,2019/6/15,男,35,硕士,山东省,临沂市,应用宝,法师,青铜,2019/9/13
D48439,2019/5/25,男,31,大专,甘肃省,武威市,应用宝,法师,黄金,2019/6/13
D33713,2018/2/19,男,23,本科,宁夏回族自治区,银川市,华为应用商店,法师,青铜,2018/4/8
D27680,2018/1/19,男,35,大专,山东省,潍坊市,APP Store,剑士,青铜,2019/10/28
D30522,2018/12/21,女,35,硕士,四川省,乐山市,华为应用商店,剑士,青铜,2019/10/2
D29886,2018/7/1,男,13,初中及以下,山东省,德州市,华为应用商店,法师,白银,2018/11/19
D41338,2017#10#1,女,35,高中/中专,江西省,九江市,华为应用商店,刺客,青铜,2018/9/26
D30473,2017#7#9,女,28,大专,江苏省,镇江市,oppo应用商店,刺客,青铜,2018/9/24
D28018,2018/9/20,男,34,本科,浙江省,宁波市,vivo应用商店,法师,青铜,2019/5/23
D33543,2017#7#12,女,24,本科,安徽省,池州市,小米应用商店,法师,青铜,2017/11/13
D39055,2019/4/13,女,21,本科,福建省,泉州市,oppo应用商店,剑士,青铜,2019/6/11
D48590,2018/10/27,男,14,初中及以下,贵州省,安顺市,应用宝,剑士,青铜,2019/8/2
D45704,2019/3/25,男,17,大专,上海市,上海市,华为应用商店,法师,青铜,2019/4/1
D45455,2017#8#23,男,15,初中及以下,江苏省,常州市,应用宝,法师,青铜,2018/9/27
D34766,2018/11/28,男,27,大专,内蒙古自治区,呼和浩特市,小米应用商店,法师,青铜,2019/4/29
D22797,2017#12#3,男,35,大专,河北省,邯郸市,华为应用商店,法师,青铜,2019/8/15
D27367,2018/5/17,男,32,硕士,贵州省,遵义市,应用宝,剑士,黄金,2019/4/21
D41512,2019/2/8,女,26,本科,江苏省,扬州市,华为应用商店,剑士,青铜,2019/2/9
D31550,2018/8/26,男,29,大专,福建省,漳州市,小米应用商店,法师,青铜,2019/3/19
D40077,2017#9#10,男,25,初中及以下,广东省,湛江市,APP Store,剑士,青铜,2019/3/5
D25698,2018/1/20,男,16,大专,吉林省,长春市,oppo应用商店,刺客,青铜,2019/11/24
D47256,2018/2/10,女,32,大专,江苏省,无锡市,APP Store,法师,青铜,2018/12/28
D29100,2018/4/15,男,21,大专,安徽省,合肥市,APP Store,法师,青铜,2019/4/30
D30521,2017#12#10,男,22,高中/中专,广西壮族自治区,柳州市,oppo应用商店,法师,青铜,2017/12/24
D45550,2019/2/3,男,25,本科,山东省,泰安市,oppo应用商店,法师,白银,2019/4/23
D51654,2017#9#21,男,20,大专,河南省,周口市,oppo应用商店,法师,青铜,2019/5/4
D51550,2019/1/13,女,17,大专,浙江省,宁波市,APP Store,法师,青铜,2019/1/28
D33638,2018/12/13,男,41,硕士,江西省,吉安市,APP Store,法师,青铜,2019/10/28
D36494,2019/2/6,女,25,初中及以下,重庆市,重庆市,APP Store,法师,青铜,2019/2/20
D51013,2019/2/5,女,34,高中/中专,江苏省,南通市,小米应用商店,法师,青铜,2019/2/18
D40468,2017#12#3,男,25,大专,新疆维吾尔自治区,巴音郭楞州,华为应用商店,刺客,白银,2019/3/9
D29772,2017#8#14,女,28,大专,安徽省,六安市,小米应用商店,剑士,青铜,2019/3/24
D37231,2017#9#14,男,21,本科,浙江省,温州市,vivo应用商店,剑士,青铜,2019/10/1
D21479,2018/6/4,女,21,大专,上海市,上海市,华为应用商店,剑士,青铜,2019/6/10
D38121,2018/1/1,男,31,大专,广东省,云浮市,华为应用商店,剑士,青铜,2018/7/19
D47021,2019/1/14,男,19,本科,河南省,周口市,APP Store,法师,青铜,2019/3/26
D32760,2018/6/20,女,26,初中及以下,浙江省,宁波市,应用宝,剑士,青铜,2018/10/3
D42273,2017#10#14,男,21,本科,江苏省,南京市,vivo应用商店,剑士,青铜,2018/2/26
D50266,2017#9#9,男,13,初中及以下,江苏省,南通市,小米应用商店,刺客,黄金,2018/4/25
D39282,2018/12/13,男,24,硕士,安徽省,芜湖市,小米应用商店,法师,青铜,2019/4/5
D45298,2017#11#27,男,15,初中及以下,广东省,湛江市,vivo应用商店,剑士,青铜,2019/9/19
D50203,2019/4/13,男,21,大专,天津市,天津市,华为应用商店,刺客,青铜,2019/4/17
D52694,2018/1/1,男,21,高中/中专,广东省,东莞市,小米应用商店,刺客,青铜,2019/8/23
D36979,2017#8#19,男,34,初中及以下,北京市,北京市,应用宝,法师,青铜,2017/8/20
D41127,2018/4/29,女,14,初中及以下,广东省,佛山市,应用宝,刺客,青铜,2019/3/18
C46828,2017#10#29,女,21,大专,江西省,南昌市,vivo应用商店,刺客,青铜,2019/4/11
C25655,2017#12#2,男,31,本科,福建省,福州市,应用宝,法师,白银,2019/1/27
C45838,2017#10#24,女,33,本科,江西省,宜春市,华为应用商店,剑士,青铜,2019/7/11
C42042,2017#7#16,女,31,本科,山西省,大同市,应用宝,刺客,青铜,2018/8/1
C51402,2018/6/20,男,20,大专,山西省,运城市,vivo应用商店,法师,青铜,2018/9/6
C50854,2017#9#21,男,28,硕士,内蒙古自治区,呼伦贝尔市,oppo应用商店,剑士,白银,2019/11/25
C34525,2018/1/8,女,15,初中及以下,陕西省,西安市,应用宝,法师,青铜,2018/3/31
C33911,2019/5/6,男,18,高中/中专,江苏省,宿迁市,华为应用商店,法师,青铜,2019/5/26
C50166,2018/8/19,女,20,硕士,江西省,赣州市,应用宝,刺客,青铜,2018/11/7
C26174,2018/6/17,女,18,大专,安徽省,合肥市,华为应用商店,剑士,青铜,2019/7/15
C36184,2018/10/31,女,31,本科,贵州省,遵义市,APP Store,刺客,青铜,2019/11/10
C48542,2018/3/25,女,19,大专,辽宁省,铁岭市,应用宝,剑士,青铜,2018/4/18
C43297,2017#11#22,男,16,高中/中专,广东省,广州市,oppo应用商店,法师,青铜,2019/4/10
C25783,2019/2/6,男,23,大专,福建省,泉州市,vivo应用商店,法师,白银,2019/3/29
C37117,2017#11#23,女,41,硕士,广西壮族自治区,防城港市,小米应用商店,法师,青铜,2018/5/8
C39616,2017#11#23,女,27,大专,河南省,郑州市,应用宝,刺客,白银,2019/10/7
C30609,2017#7#22,女,25,大专,重庆市,重庆市,APP Store,剑士,青铜,2019/2/28
C31694,2019/5/6,男,24,本科,重庆市,重庆市,vivo应用商店,法师,青铜,2019/5/22
C48319,2018/5/24,男,27,初中及以下,江苏省,淮安市,华为应用商店,法师,青铜,2019/6/3
C51183,2018/6/10,女,22,高中/中专,辽宁省,鞍山市,oppo应用商店,法师,白银,2018/6/11
C43588,2018/12/8,男,27,硕士,内蒙古自治区,呼和浩特市,应用宝,法师,青铜,2019/6/17
C33077,2018/9/27,男,25,大专,安徽省,滁州市,华为应用商店,剑士,青铜,2019/5/31
C44167,2018/1/20,男,23,大专,广西壮族自治区,北海市,oppo应用商店,法师,青铜,2019/1/5
C27471,2019/2/10,男,30,大专,贵州省,毕节市,小米应用商店,刺客,青铜,2019/4/20
C42926,2019/1/10,女,13,初中及以下,云南省,红河哈尼族彝族自治州,vivo应用商店,法师,青铜,2019/1/20
C47652,2019/2/15,女,31,初中及以下,山西省,朔州市,APP Store,法师,白银,2019/3/16
C47613,2018/5/11,男,15,初中及以下,广东省,广州市,其他,法师,青铜,2019/4/9
C45094,2019/6/9,男,21,本科,江苏省,南通市,APP Store,刺客,白银,2019/4/6
C33778,2017#7#29,男,14,初中及以下,四川省,南充市,vivo应用商店,剑士,黄金,2019/3/29
